id=0, name=Hp: +#, type=0, level=0, strOption=20;20;20;20;20;20;20;25;25;25;25;30;30;40;40;100;200;200;400;440;484;532;585;643;707;777;854;939;1032;1135
id=1, name=Mp: +#, type=0, level=0, strOption=20;20;20;20;20;20;20;25;25;25;25;30;30;40;40;100;200;200;400;440;484;532;585;643;707;777;854;939;1032;1135
id=2, name=Tấn công: +#, type=0, level=0, strOption=50;50;50;50;50;50;50;70;70;70;70;90;90;110;110;150;200;200;400;440;484;532;585;643;707;777;854;939;1032;1135
id=3, name=Sát thương quái: +#, type=0, level=0, strOption=20;20;20;20;20;20;20;25;25;25;25;30;30;40;40;100;150;150;300;330;363;399;438;481;529;581;639;702;772;849
id=4, name=Bỏ qua né tránh: +#, type=0, level=0, strOption=20;20;20;20;20;20;20;25;25;25;25;30;30;40;40;100;150;150;300;330;363;399;438;481;529;581;639;702;772;849
id=5, name=Chí mạng: +#, type=0, level=0, strOption=10;10;10;10;10;10;10;15;15;15;15;20;20;25;25;40;60;60;120;132;145;159;174;191;210;231;254;279;306;336
id=6, name=Sát thương chuyển thành hồi phục Hp: +#%, type=0, level=0, strOption=1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2
id=7, name=Kháng lôi: +#, type=2, level=0, strOption=5;5;5;5;5;5;5;10;10;10;10;15;15;20;20;30;40;40;80;88;96;105;115;126;138;151;166;182;200;220
id=8, name=Kháng thổ: +#, type=2, level=0, strOption=5;5;5;5;5;5;5;10;10;10;10;15;15;20;20;30;40;40;80;88;96;105;115;126;138;151;166;182;200;220
id=9, name=Kháng thủy: +#, type=2, level=0, strOption=5;5;5;5;5;5;5;10;10;10;10;15;15;20;20;30;40;40;80;88;96;105;115;126;138;151;166;182;200;220
id=10, name=Kháng hỏa: +#, type=2, level=0, strOption=5;5;5;5;5;5;5;10;10;10;10;15;15;20;20;30;40;40;80;88;96;105;115;126;138;151;166;182;200;220
id=11, name=Kháng phong: +#, type=2, level=0, strOption=5;5;5;5;5;5;5;10;10;10;10;15;15;20;20;30;40;40;80;88;96;105;115;126;138;151;166;182;200;220
id=12, name=Kháng tất cả: +#, type=2, level=0, strOption=5;5;5;5;5;5;5;10;10;10;10;15;15;20;20;30;40;40;80;88;96;105;115;126;138;151;166;182;200;220
id=13, name=Giảm trừ sát thương: +#, type=2, level=0, strOption=5;5;5;5;5;5;5;10;10;10;10;15;15;20;20;30;40;40;80;88;96;105;115;126;138;151;166;182;200;220
id=14, name=Né tránh: +#, type=2, level=0, strOption=10;10;10;10;10;10;10;15;15;15;15;20;20;25;25;40;60;60;120;132;145;159;174;191;210;231;254;279;306;336
id=15, name=Chí mạng: +#, type=2, level=0, strOption=10;10;10;10;10;10;10;15;15;15;15;20;20;25;25;40;60;60;120;132;145;159;174;191;210;231;254;279;306;336
id=16, name=Phản đòn: +#, type=2, level=0, strOption=1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2
id=17, name=(+4) Tốc độ di chuyển: +#, type=3, level=10, strOption=
id=18, name=Hp tối đa: +#, type=2, level=0, strOption=20;20;20;20;20;20;20;25;25;25;25;30;30;40;40;100;200;200;400;440;484;532;585;643;707;777;854;939;1032;1135
id=19, name=Mp tối đa: +#, type=2, level=0, strOption=20;20;20;20;20;20;20;25;25;25;25;30;30;40;40;100;200;200;400;440;484;532;585;643;707;777;854;939;1032;1135
id=20, name=Chính xác: +#, type=2, level=0, strOption=20;20;20;20;20;20;20;25;25;25;25;30;30;40;40;100;150;150;300;330;363;399;438;481;529;581;639;702;772;849
id=21, name=Tăng tấn công lên Hệ Lôi: +#, type=2, level=0, strOption=10;10;10;10;10;10;10;15;15;15;15;20;20;25;25;40;60;60;120;132;145;159;174;191;210;231;254;279;306;336
id=22, name=Tăng tấn công lên Hệ Thổ: +#, type=2, level=0, strOption=10;10;10;10;10;10;10;15;15;15;15;20;20;25;25;40;60;60;120;132;145;159;174;191;210;231;254;279;306;336
